rawcode,shop,name_ru,name_en,category,element,rank,goldcost,STR,AGI,INT,AllStat,DMG,DEF,MS,AS,MaxHP,MaxMP,HP_regen,MP_regen,Lifesteal,Crit,Evasion,active_CD,active_mana,abilities_resolved,description_ru,description_en,crafted_from,crafts_into
I01I,,"Меч, Ранг B","Sword, Rank B",,,,2100,,,,18,60,,,,,,,,,1.8,,,,+60 DMG (A05Z); +18 AllStat (A0VM); Crit x1.75 (A0VP),"Повышение силы атаки на 60 ед. и характеристик на 18 ед., Passive: ""Смертельный удар"" - шанс 15% нанести 1.75х урон","Increases AD by 60 and stats by 18. Passive: ""Critical Strike"" - 15% chance to deal 1.75x damage.","Sword, Rank C (I01J) + Upgrade Item (I00E)","Sword, Rank A (I01K) , Captain Set (I042) , Death Scythe [Weapon] (ISDi)"
I01K,,"Меч, Ранг A","Sword, Rank A",,,,2850,,,,24,80,,,,,,,,,2,,,,+24 AllStat (A0VN); +80 DMG (A26M); Crit x2 (A06L),"Повышение силы атаки на 80 ед. и характеристик на 24 ед., Passive: ""Смертельный удар"" - шанс 15% нанести 2х урон","Increases AD by 80 and stats by 24. Passive: ""Critical Strike"" - 15% chance to deal 2x damage.","Sword, Rank B (I01I) + Upgrade Item (I00E)","Tempered Sword [Weapon] (I01L) , Imagine Breaker (I04V)"
I01L,,Закаленный Меч |r|c00FF5555Weapon|r,Tempered Sword [Weapon],,,,3600,,,,24,80,,,,,,,,,2,,25,140,Active CD=25s mana=140 (A0VQ); +24 AllStat (A0VN); +80 DMG (A26M); Crit x2 (A06L),"Повышение силы атаки на 80 ед. и характеристик на 24 ед., Passive: ""Смертельный удар"" - шанс 15% нанести 2х урон.  |  | Active: ""Быстрые Удары"" - перемещается к противнику, нанося удар и активируя пассивную способность Сюсуя, Фэнга и Тёмного Экскалибура (если не в перезарядке) при их наличии. Недоступно до 6 уровня. |  | Перезарядка: 4 сек.","Increases AD by 80 and stats by 24. Passive: ""Critical Strike"" - 15% chance to deal 2x damage. | Active: ""Quick Strikes"" - dashes to enemy, striking and activating passives of Shusui, Feng and Dark Excalibur (if not on cooldown). Unavailable until level 6.","Sword, Rank A (I01K) + Upgrade Item (I00E)","Sandai Kitetsu [Weapon] (I01O) , Yamato [Weapon] (I02V) , Patriot [Weapon] (I031)"
I01O,Weapons (n00F),Сандай Китетсу |r|c00FF5555Weapon|r,Sandai Kitetsu [Weapon],,,,4450,,,,25,80,,,,,,,,,2,,15,100,Active CD=15s mana=100 (A06J); Crit x2 (A06N); +80 DMG (A26M); +25 AllStat (A060),"Повышение силы атаки на 80 ед., AllStat на 25 ед., Passive: ""Смертельный удар"" - 20% шанс нанести 2х урон. |  | Active: ""Быстрые Удары"" - перемещается к противнику, нанося 3+2 за каждый предмет класса Weapon ударов. Недоступно до 6 уровня. |  | CD: 15 сек.","Increases AD by 80, AllStat by 25. Passive: ""Critical Strike"" - 20% chance to deal 2x damage. | Active: ""Quick Strikes"" - dashes to enemy, dealing 3+2 per Weapon class item hits. Unavailable until level 6. | CD: 15 sec.",Tempered Sword [Weapon] (I01L) + Sandai Kitetsu (Recipe) (I01P),"Shusui [Weapon] (I01Q) , Dark Excalibur [Weapon] (I01S) , Feng [Weapon] (I01U) , Excalibur [Weapon] (I04F) , Samehada (Bleeding) [Weapon] (I03O)"
I01Q,Weapons (n00F),Сюсуй |r|c00FF5555Weapon|r,Shusui [Weapon],,,,5300,,,,30,100,,,,,,,,,2,,15,100,Active CD=15s mana=100 (A06J); +100 DMG (A06M); +30 AllStat (A06P); Crit x2 (A06N),"AD: 100 ед., AllStat 30, 20% нанести 2х урон | Passive: ""Смертельная волна"" - 25% нанести 3*AGI урон вокруг цели. | Раз в 3 сек 100% шанс на ""Смертельная волна"" | Active: ""Быстрые Удары"" - перемещается к противнику, нанося 3+2 за каждый предмет класса Weapon ударов. Недоступно до 6 уровня. | CD: 15 сек.","AD: 100, AllStat 30, 20% to deal 2x damage. | Passive: ""Deadly Wave"" - 25% to deal 3*AGI damage around target. | Every 3 sec 100% chance for ""Deadly Wave"". | Active: ""Quick Strikes"" - dashes to enemy, dealing 3+2 per Weapon class item hits. Unavailable until level 6. | CD: 15 sec.",Sandai Kitetsu [Weapon] (I01O) + Shusui (Recipe) (I01R),
I01T,Recipes (n005),Темный Экскалибур (рецепт),Dark Excalibur (Recipe),,,,750,,,,,,,,,,,,,,,,,,,"Повышение силы атаки на 125 ед.,STR на 40 ед., AGI на 20 ед, шанс 30% нанести 2х урон, Passive: ""Жажда крови"" - 30% шанс получить 150% AS и 60% вампиризм на 3 сек. Перезарядка 4 сек. |  | Перезарядка: 25 сек. |  | Требуется: Сандай Китетсу, Рецепт.","Increases AD by 125, STR by 40, AGI by 20, 30% chance to deal 2x damage. Passive: ""Bloodlust"" - 30% chance to gain 150% AS and 60% lifesteal for 3 sec. Cooldown 4 sec. | Cooldown: 25 sec. | Requires: Sandai Kitetsu, Recipe.",,Dark Excalibur [Weapon] (I01S)
I01S,Weapons (n00F),Темный Экскалибур |r|c00FF5555Weapon|r,Dark Excalibur [Weapon],,,,5300,40,20,,,125,,,,,,,,,2,,25,140,"Active CD=25s mana=140 (A0VQ); +40 STR, +20 AGI (A14K); Crit x2 (AIde); +125 DMG (A06O)","AD: 125 ед., STR 40 ед., AGI 20 ед, 30% нанести 2х урон. Passive: ""Жажда крови"" - 30%:  +150% AS и +60% вампиризм на 3 сек. Перезарядка 4 сек. |  | Active: ""Быстрые Удары"" - перемещается к противнику, нанося 2+2 за каждый предмет класса Weapon ударов. Недоступно до 6 уровня. | CD: 25 сек.","AD: 125, STR 40, AGI 20, 30% to deal 2x damage. | Passive: ""Bloodlust"" - 30%: +150% AS and +60% lifesteal for 3 sec. Cooldown 4 sec. | Active: ""Quick Strikes"" - dashes to enemy, dealing 2+2 per Weapon class item hits. Unavailable until level 6. | CD: 25 sec.",Sandai Kitetsu [Weapon] (I01O) + Dark Excalibur (Recipe) (I01T),
I01V,Recipes (n005),Фэнг (рецепт),Feng (Recipe),,,,750,,,,,,,,,,,,,,,,,,,"Повышение силы атаки на 100 ед., AllStat на 30, шанс 20% нанести 2x урон, Passive: ""Токсичный яд"" - 25% шанс отравить противника мощным ядом, наносящим 3*INT в течении 3 сек и замедляя MS на 50% в течении 1 сек. | Раз в 3 сек 100% шанс на ""Токсичный яд"" | Active: ""Быстрые Удары"" - перемещается к противнику, нанося 3+2 за каждый предмет класса Weapon ударов. Недоступно до 6 уровня. | Перезарядка: 15 сек. |  | Требуется: Сандай Китетсу, Рецепт.","Increases AD by 100, AllStat by 30, 20% chance to deal 2x damage. Passive: ""Toxic Poison"" - 25% chance to poison enemy, dealing 3*INT over 3 sec and slowing MS by 50% for 1 sec. | Every 3 sec 100% chance for ""Toxic Poison"". | Active: ""Quick Strikes"" - dashes to enemy, dealing 3+2 per Weapon class item hits. Unavailable until level 6. | Cooldown: 15 sec. | Requires: Sandai Kitetsu, Recipe.",,Feng [Weapon] (I01U)
I01U,Weapons (n00F),Фэнг |r|c00FF5555Weapon|r,Feng [Weapon],,,,5300,,,,30,100,,,,,,,,,2,,15,100,Active CD=15s mana=100 (A06J); +100 DMG (A06M); +30 AllStat (A06P); Crit x2 (A06N),"AD: 100 ед., AllStat 30, 20% нанести 2х урон | Passive: ""Токсичный яд"" - 25% Poison, 3*INT 3 сек и MS: -50% в течении 1 сек. | Раз в 3 сек 100% шанс на ""Токсичный яд"" | Active: ""Быстрые Удары"" - перемещается к противнику, нанося 3+2 за каждый предмет класса Weapon ударов. Недоступно до 6 уровня. | CD: 15 сек.","AD: 100, AllStat 30, 20% to deal 2x damage. | Passive: ""Toxic Poison"" - 25% Poison, 3*INT over 3 sec and MS: -50% for 1 sec. | Every 3 sec 100% chance for ""Toxic Poison"". | Active: ""Quick Strikes"" - dashes to enemy, dealing 3+2 per Weapon class item hits. Unavailable until level 6. | CD: 15 sec.",Sandai Kitetsu [Weapon] (I01O) + Feng (Recipe) (I01V),
I03N,Weapons (n00F),Самехада (Manaburn) |r|c00FF5555Weapon|r,Samehada (Manaburn) [Weapon],,,,5500,35,,35,,125,,,50,,,,,,,,,50,"Active mana=50 (A0UG); +50% AS (A0LJ); +35 STR, +35 INT (A0UF); +125 DMG (A06O)","Повышение STR и INT  на 35 ед., атаки на 125 ед., повышение AS на 50%. Переключение между режимами: 1) Каждая атака выжигает 8% текущего MP, восстанавливая 1.5х Количество выжженной MP в виде HP. 2) Каждая атака наносит 150+25% от автоатаки в виде чистого урона.","Increases STR and INT by 35, AD by 125, AS by 50%. Toggle between modes: 1) Each attack burns 8% current MP, restoring 1.5x burnt MP as HP. 2) Each attack deals 150+25% of autoattack as pure damage.",,
I04X,Recipes 2 (n015),Экскалибур (рецепт),Excalibur (Recipe),,,,1050,,,,,,,,,,,,,,,,,,,"AllStat на 30, атаки на 125 ед., при каждой атаке восстанавливает 20% от нанесенного урона (только для ближнего боя)  |  | Active: ""Раскол брони""  |  | Перезарядка: 20 сек. |  | Требуется:Сандай Китетсу, Рецепт.","AllStat by 30, AD by 125, each attack restores 20% of dealt damage. | Active: ""Armor Break"" | Cooldown: 20 sec. | Requires: Sandai Kitetsu, Recipe.",,Excalibur [Weapon] (I04F)
I04F,Weapons (n00F),Экскалибур |r|c00FF5555Weapon|r,Excalibur [Weapon],,,,5500,,,,30,125,,,,,,,,20,,,20,100,Hex (A14T); +125 DMG (A06O); +20% Lifesteal (AI09); +30 AllStat (A06P),"Увеличивает AllStat на 30, атаки на 125 ед., при каждой атаке восстанавливает 20% от нанесенного урона  | С каждой атакой понижает броню на 3 ед на 10 сек. |  | Active: ""Раскол брони"" - снижает броню всех врагов на 30 ед. в течении 10 сек.  в радиусе 600 ед. |  | CDR: 20 сек.","Increases AllStat by 30, AD by 125, each attack restores 20% of dealt damage. | Each attack reduces enemy armor by 3 for 10 sec. | Active: ""Armor Break"" - reduces armor of all enemies by 30 for 10 sec in radius 600. | CD: 20 sec.",Sandai Kitetsu [Weapon] (I01O) + Excalibur (Recipe) (I04X),
I02U,Recipes (n005),Ямато (рецепт),Yamato (Recipe),,,,300,,,,,,,,,,,,,,,,,,,"Повышение силы атаки на 125 ед., AGI на 60 ед., HP на 500. Passive: ""Кромсание"" - Каждый удар запрещает противнику восстанавливать HP в течении 1 сек. 15% шанс при атаке нанести критический 3х урон. | Active: ""Рассечение"" -  Следующая атака имеет 100% шанс на ""Кромсание"". |  | Перезарядка: 10 сек. |  | Требуется: Закаленный меч, Сфера ветра, Рецепт.","Increases AD by 125, AGI by 60, HP by 500. Passive: ""Mangle"" - each hit prevents enemy from restoring HP for 1 sec. 15% chance on attack to deal 3x critical damage. | Active: ""Slash"" - next attack has 100% chance for ""Mangle"". | Cooldown: 10 sec. | Requires: Tempered Sword, Wind Sphere, Recipe.",,Yamato [Weapon] (I02V)
I02T,Ultimate Items (n00E),Сфера Ветра,Wind Sphere,,,,1700,,25,,,30,,,30,,,,,,,,20,50,Active: AoE Stun CD=20s mana=50 (A0X0); +25 AGI (A04E); +30 DMG (A05U); +30% AS (A05B),"Увеличивает AGI героя на 25 ед., AS на 30%, атаку на 30. Способность: ""Ускорение"" - увеличение MS на 60%, на 7 сек., активные способности прерывают эффект. |  | Перезарядка: 20 сек.","Increases hero AGI by 25, AS by 30%, AD by 30. Ability: ""Acceleration"" - increases MS by 60% for 7 sec, active abilities cancel the effect. | Cooldown: 20 sec.",,"Yamato [Weapon] (I02V) , Seal of Elements (I044) , Hurricane Boots (I046) , Alastor (I03A) , Captain Set (I042) , Staff of the West Wind (I04G)"
I02V,Weapons (n00F),Ямато |r|c00FF5555Weapon|r,Yamato [Weapon],,,,5600,,60,,,125,,,,500,,,,,,,10,120,Active CD=10s mana=120 (A0HO); +125 DMG (A06O); +60 AGI (A0XE); +500 Max HP (A0S9),"Повышение силы атаки на 125 ед., AGI на 60 ед., HP на 500. Passive: ""Кромсание"" - Каждый удар запрещает противнику восстанавливать HP в течении 1 сек. 15% шанс при атаке нанести критический 3х урон. | Active: ""Рассечение"" -  Следующая атака имеет 100% шанс на ""Кромсание"". |  | Перезарядка: 10 сек.","Increases AD by 125, AGI by 60, HP by 500. Passive: ""Mangle"" - each hit prevents enemy from restoring HP for 1 sec. 15% chance on attack to deal 3x critical damage. | Active: ""Slash"" - next attack has 100% chance for ""Mangle"". | Cooldown: 10 sec.",Tempered Sword [Weapon] (I01L) + Wind Sphere (I02T) + Yamato (Recipe) (I02U),
I04U,Recipes 2 (n015),Комплект Капитана (рецепт),Captain Set (Recipe),,,,700,,,,,,,,,,,,,,,,,,,"Повышение AllStat на 30 ед., HP Regen на 20 ед., DEF на 5. | Дальность: 850 |  | Перезарядка: 20 сек. |  | Требуется: Сборка: Сфера Ветра(1700) + Меч Ранга B(2100) + Рецепт(700).","Increases AllStat by 30, HP Regen by 20, DEF by 5. | Range: 850. | Cooldown: 20 sec. | Requires: Wind Sphere (1700) + Sword Rank B (2100) + Recipe (700).",,Captain Set (I042)
I042,Ultimate Items 2 (n00A),Комплект Капитана,Captain Set,,,,4500,,,,30,,5,,,,,20,,,,,20,250,Active CD=20s mana=250 (A0HJ); +30 AllStat (A06P); +20 HP/s regen (A03V); +5 DEF (A05G),"Повышение AllStat на 30 ед., HP Regen на 20 ед., DEF на 5. |  | Активная способность: ""Скачок"" - телепортация на небольшое расстояние, после перемещения вы будете ускорены на 25% на 4 сек. Не работает со стандартным скачком. Недоступно до 6 уровня. | Дальность: 850 | CDR: 20 сек.","Increases AllStat by 30, HP Regen by 20, DEF by 5. | Active ability: ""Leap"" - short-range teleport, after moving you are hasted by 25% for 4 sec. Does not work with default blink. Unavailable until level 6. | Range: 850. | CD: 20 sec.","Wind Sphere (I02T) + Sword, Rank B (I01I) + Captain Set (Recipe) (I04U)",
I03G,,Перчатки Вонголы Уровень 1,Vongola Gloves Lv.1,,,,1050,,,,10,,,,45,,,,,,,,,,+45% AS (A0EG); +10 AllStat (A10P),"Увеличение AS героя на 45%, AllStat на 10 ед.","Increases hero AS by 45%, AllStat by 10.",Vongola Gloves (I008) + Upgrade Item (I00E),Vongola Gloves Lv.2 (I03H)
I03H,,Перчатки Вонголы Уровень 2,Vongola Gloves Lv.2,,,,1800,,,,15,,,,90,,,,,,,,,,+90% AS (A0EK); +15 AllStat (JNF5),"Увеличение AS героя на 75%, AllStat на 15 ед.","Increases hero AS by 90%, AllStat by 15. | Note: the Russian in-game tooltip still says 75%, while the ability (A0EK) grants 90%.",Vongola Gloves Lv.1 (I03G) + Upgrade Item (I00E),Vongola Gloves Lv.3 (I03I)
I03I,,Перчатки Вонголы Уровень 3,Vongola Gloves Lv.3,,,,2550,,,,20,,,,105,,,,,,,,,,+105% AS (A0TU); +20 AllStat (A0EO),"Увеличение AS героя на 105%, AllStat на 20 ед.","Increases hero AS by 105%, AllStat by 20.",Vongola Gloves Lv.2 (I03H) + Upgrade Item (I00E),"Vongola Gloves Lv.4 (I03J) , Imagine Breaker (I04V)"
I03J,,Перчатки Вонголы Уровень 4,Vongola Gloves Lv.4,,,,3300,,,,25,,,,135,,,,,,,,,,+135% AS (A0TV); +25 AllStat (WE09),"Увеличение AS героя на 135%, AllStat на 25 ед.","Increases hero AS by 135%, AllStat by 25.",Vongola Gloves Lv.3 (I03I) + Upgrade Item (I00E),Vongola Gloves Lv.5 (I03K)
I03K,,Перчатки Вонголы Уровень 5,Vongola Gloves Lv.5,,,,4050,,,,30,,,,175,,,,,,,,,,+175% AS (A0TW); +30 AllStat (AMDb),"Увеличение AS героя на 175%, AllStat на 30 ед.","Increases hero AS by 175%, AllStat by 30.",Vongola Gloves Lv.4 (I03J) + Upgrade Item (I00E),"Vongola X Gloves (I03L) , Wind Hole (I130)"
I03L,Ultimate Items 2 (n00A),Перчатки Вонголы Ver. X,Vongola X Gloves,,,,4800,,,,35,,,,175,,,,,,,,25,50,Active CD=25s mana=50 (A0TZ); +175% AS (A0TW); +35 AllStat (A0LD),"Увеличение AS героя на 175%, AllStat на 35 |  | Active: ""Burning Axel"" - бросок огненного шара, который взрывается, при попадании в первого попавшегося врага, наносящего AllStat*2 и оглушая на 0.2 сек в области 500 AoE. Дополнительно, герой начинает наносить на 15% больше урона в течении 6 секунд. |  | Перезарядка: 25 сек.","Increases hero AS by 175%, AllStat by 35. | Active: ""Burning Axel"" - throws a fireball that explodes on hitting the first enemy, dealing AllStat*2 and stunning for 0.2 sec in 500 AoE. Additionally, the hero deals 15% more damage for 6 sec. | Cooldown: 25 sec.",Vongola Gloves Lv.5 (I03K) + Upgrade Item (I00E),
